duration_minutes,main_actors,metascore,rating,release_year,title
120,"Tom Hanks,Matt Damon,Tom Sizemore",91,8.6,1998,Saving Private Ryan
180,"Toshirô Mifune,Takashi Shimura,Keiko Tsushima",98,8.6,1954,Seven Samurai
60,"Jodie Foster,Anthony Hopkins,Scott Glenn",86,8.6,1991,The Silence of the Lambs
120,"James Stewart,Donna Reed,Lionel Barrymore",89,8.6,1946,It's a Wonderful Life
120,"Morgan Freeman,Brad Pitt,Kevin Spacey",65,8.6,1995,Se7en
120,"Jack Nicholson,Louise Fletcher,Michael Berryman",84,8.7,1975,One Flew Over the Cuckoo's Nest
120,"Matthew McConaughey,Anne Hathaway,Jessica Chastain",74,8.7,2014,Interstellar
120,"Robert De Niro,Ray Liotta,Joe Pesci",92,8.7,1990,Goodfellas
120,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",73,8.7,1999,The Matrix
120,"Mark Hamill,Harrison Ford,Carrie Fisher",82,8.7,1980,Star Wars: Episode V - The Empire Strikes Back
120,"Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page",74,8.8,2010,Inception
120,"Brad Pitt,Edward Norton,Meat Loaf",67,8.8,1999,Fight Club
120,"Elijah Wood,Ian McKellen,Viggo Mortensen",87,8.8,2002,The Lord of the Rings: The Two Towers
120,"Tom Hanks,Robin Wright,Gary Sinise",82,8.8,1994,Forrest Gump
120,"Clint Eastwood,Eli Wallach,Lee Van Cleef",90,8.8,1966,"The Good, the Bad and the Ugly"
120,"Elijah Wood,Ian McKellen,Orlando Bloom",92,8.9,2001,The Lord of the Rings: The Fellowship of the Ring
180,"Tom Hanks,Michael Clarke Duncan,David Morse",61,8.6,1999,The Green Mile
120,"John Travolta,Uma Thurman,Samuel L. Jackson",95,8.8,1994,Pulp Fiction
180,"Liam Neeson,Ralph Fiennes,Ben Kingsley",95,9.0,1993,Schindler's List
180,"Elijah Wood,Viggo Mortensen,Ian McKellen",94,9.0,2003,The Lord of the Rings: The Return of the King
60,"Henry Fonda,Lee J. Cobb,Martin Balsam",97,9.0,1957,12 Angry Men
180,"Al Pacino,Robert De Niro,Robert Duvall",90,9.0,1974,The Godfather Part II
120,"Christian Bale,Heath Ledger,Aaron Eckhart",85,9.1,2008,The Dark Knight
120,"Marlon Brando,Al Pacino,James Caan",100,9.2,1972,The Godfather
120,"Tim Robbins,Morgan Freeman,Bob Gunton",82,9.3,1994,The Shawshank Redemption
